ano_base,cd_programa_ies,nm_programa_ies,fonte_arquivo,fonte_data_coleta,qtd_registros_docente,qtd_docentes_distintos
2016,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,33,33
2016,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,35,35
2016,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,53,53
2016,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,17,17
2016,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,34,34
2017,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,29,29
2017,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,29,29
2017,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,31,31
2017,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,35,35
2017,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,52,52
2017,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,15,15
2017,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,32,32
2018,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,28,28
2018,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,27,27
2018,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,31,31
2018,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,35,35
2018,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,47,47
2018,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,15,15
2018,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,31,31
2019,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,27,27
