id_add_producao_intelectual,an_base,sg_entidade_ensino,cd_programa_ies,nm_programa_ies,qtd_autores_total,qtd_tp_autor_sem_informacao,qtd_tp_autor_discente,qtd_tp_autor_docente,qtd_tp_autor_egresso,qtd_tp_autor_participante_externo,qtd_tp_autor_participante_x0020_externo,qtd_tp_autor_pos_doc,qtd_tp_autor_x002d
19835218,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835220,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,0,2,0,0,0,0,0
19835226,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835277,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,1,1,0,0,0,0,0
19835282,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835283,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,1,0,1,0,1,0,0,0
19835284,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835286,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835406,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,1,0,2,0,0,0,0,0
19835516,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,0,1,0,1,0,0,0
19835517,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835664,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835667,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835669,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835754,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,1,1,0,0,0,0,0
19835761,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835769,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835770,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835812,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,0,0,1,0,2,0,0,0
19835814,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,0,1,0,1,0,0,0
19835828,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,1,1,1,0,0,0,0,0
19835892,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835894,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835896,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,0,0,3,0,0,0,0,0
19835897,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,4,1,0,3,0,0,0,0,0
19835901,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835906,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,1,0,1,0,0,0,0,0
19835975,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19835983,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836024,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,0,0,3,0,0,0,0,0
19836069,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836088,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836093,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,2,0,0,1,0,1,0,0,0
19836094,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,3,1,0,1,0,1,0,0,0
19836095,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836097,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
19836100,2013,INPE,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,1,0,0,1,0,0,0,0,0
